timestamp,test-class,test-method,time,description,result
2021-09-06 18:03:13.703,acme.testing.anonymous.shout.AnonymousShoutListTest,listRecentShoutsByMoment,1805,"[1] recordIndex=0, author=Miguel Ángel Valverde, link=http://ejemplo2.com, moment=2021/05/31 10:38, title=I'm the master of my Team!",Expected value '2021/05/31 10:38' in attribute 0 of record 0, but found '2021/08/29 14:36'
2021-09-06 18:03:15.234,acme.testing.anonymous.shout.AnonymousShoutListTest,listRecentShoutsByMoment,1010,"[2] recordIndex=1, author=Miguel Ángel, link=http://ejemplo7.com, moment=2021/05/31 10:35, title=I'm the best developer!",Expected value '2021/05/31 10:35' in attribute 0 of record 1, but found '2021/08/21 10:29'
2021-09-06 18:03:16.653,acme.testing.anonymous.shout.AnonymousShoutListTest,listRecentShoutsByMoment,1033,"[3] recordIndex=2, author=Antonio Campuzano, link=http://ejemplo1.com, moment=2021/05/31 10:15, title=I'm the creator!",Expected value '2021/05/31 10:15' in attribute 0 of record 2, but found '2021/08/17 05:42'
2021-09-06 18:03:18.104,acme.testing.anonymous.shout.AnonymousShoutListTest,listRecentShoutsByMoment,1057,"[4] recordIndex=3, author=Ale Ruiz, link=null, moment=2021/05/31 09:49, title=I'm developer!",Expected value '2021/05/31 09:49' in attribute 0 of record 3, but found '2021/08/16 10:35'
2021-09-06 18:03:19.498,acme.testing.anonymous.shout.AnonymousShoutListTest,listRecentShoutsByMoment,1016,"[5] recordIndex=4, author=John Doe, link=null, moment=2021/05/31 09:39, title=I'm developer!",Expected value '2021/05/31 09:39' in attribute 0 of record 4, but found '2021/08/16 09:49'
2021-09-06 18:03:20.913,acme.testing.anonymous.shout.AnonymousShoutListTest,listRecentShoutsByMoment,1044,"[6] recordIndex=5, author=Diego Plaza, link=http://ejemplo3.com, moment=2021/05/31 02:48, title=I'm developer!",Expected value '2021/05/31 02:48' in attribute 0 of record 5, but found '2021/08/15 10:38'
2021-09-06 18:03:22.461,acme.testing.anonymous.shout.AnonymousShoutListTest,listRecentShoutsByMoment,1158,"[7] recordIndex=6, author=Emote-man, link=null, moment=2021/05/30 10:29, title=;) :) -_-",Expected value '2021/05/30 10:29' in attribute 0 of record 6, but found '2021/08/15 10:15'
2021-09-06 18:03:23.86,acme.testing.anonymous.shout.AnonymousShoutListTest,listRecentShoutsByMoment,1014,"[8] recordIndex=7, author=Pedro, link=null, moment=2021/05/29 14:36, title=I'm not a developer!",Expected value '2021/05/29 14:36' in attribute 0 of record 7, but found '2021/08/15 09:39'
2021-09-06 18:03:25.283,acme.testing.anonymous.shout.AnonymousShoutListTest,listRecentShoutsByMoment,1011,"[9] recordIndex=8, author=John Jonhns, link=http://ejemplo5.com, moment=2021/05/29 13:19, title=I'm an alien",Expected value '2021/05/29 13:19' in attribute 0 of record 8, but found '2021/08/15 02:48'
2021-09-06 18:03:26.74,acme.testing.anonymous.shout.AnonymousShoutListTest,listRecentShoutsByMoment,1097,"[10] recordIndex=9, author=Mariano, link=http://ejemplo8.com, moment=2021/05/28 05:42, title=I'm here! :)",Expected value '2021/05/28 05:42' in attribute 0 of record 9, but found '2021/08/10 13:19'
